,URL,Title,Price
0,https://www.boohoo.com/basics-high-waisted-flared-trousers/GZZ55752.html?color=151,Basics High Waisted Flared Trousers,£10.00
1,https://www.boohoo.com/pantone-straight-leg-jogger/GZZ57225.html?color=119,Pantone Straight Leg Jogger,£20.00
2,/abstract-print-high-waisted-flared-trousers/GZZ55751.html?color=144,Abstract Print High Waisted Flared Trousers,£12.00
3,https://www.boohoo.com/pantone-straight-leg-jogger/GZZ57225.html?color=152,Pantone Straight Leg Jogger,£20.00
4,https://www.boohoo.com/pantone-straight-leg-jogger/GZZ57225.html?color=102,Pantone Straight Leg Jogger,£20.00
5,/cotton-crinkle-belted-wide-leg-trousers/GZZ54456.html?color=173,Cotton Crinkle Belted Wide Leg Trousers,£25.00
6,/premium-lace-flared-tailored-trousers/GZZ52430.html?color=133,Premium Lace Flared Tailored Trousers,£28.00
7,/distressed-flared-trousers/GZZ53763.html?color=173,Distressed Flared Trousers,£22.00
8,/shard-sequin-high-waisted-wide-leg-trousers/GZZ51361.html?color=173,Shard Sequin High Waisted Wide Leg Trousers,£40.00
9,/cotton-crinkle-relaxed-fit-cargo-trousers/GZZ54454.html?color=173,Cotton Crinkle Relaxed Fit Cargo Trousers,£28.00
10,/tall-split-hem-slim-tailored-high-waisted-trousers/GZZ54733.html?color=535,Tall Split Hem Slim Tailored High Waisted Trousers,£18.00
11,https://www.boohoo.com/high-waist-tapered-tailored-suit-trousers/GZZ10251.html,High Waist Tapered Tailored Suit Trousers,£25.00
12,/high-waisted-pleat-front-tapered-work-trousers/GZZ10244.html?color=508,High Waisted Pleat Front Tapered Work Trousers,£20.00
13,/tailored-wide-leg-trousers/GZZ54872.html?color=137,Tailored Wide Leg Trousers,£25.00
14,/plus-crepe-straight-leg-tailored-trousers/GZZ56792.html?color=155,Plus Crepe Straight Leg Tailored Trousers,£20.00
15,/super-stretch-tapered-tailored-trouser/FZZ77463.html?color=105,Super Stretch Tapered Tailored Trouser,£22.00
16,/structured-seamless-contour-ribbed-leggings/GZZ44021.html?color=167,Structured Seamless Contour Ribbed Leggings,£18.00
17,/tall-pocket-detail-high-waisted-wide-leg-cargo-trousers/GZZ54639.html?color=135,Tall Pocket Detail High Waisted Wide Leg Cargo Trousers,£25.00
18,/petite-straight-leg-parachute-shell-cargo-joggers/GZZ58283.html?color=165,Petite Straight Leg Parachute Shell Cargo Joggers,£20.00
19,/high-waisted-metallic-full-length-trousers/GZZ41582.html?color=105,High Waisted Metallic Full Length Trousers,£30.00
20,https://www.boohoo.com/high-waisted-plisse-cargo-pants/GZZ19424.html?color=106,Plisse Straight Leg Cargo Trouser,£8.00
21,/applique-oversized-jogger/GZZ27777.html?color=978,Applique Oversized Jogger,£12.00
22,https://www.boohoo.com/woman-embroidered-regular-joggers/FZZ02763.html?color=173,White Woman Embroidered Regular Joggers,£8.00
23,https://www.boohoo.com/woman-embroidered-regular-joggers/FZZ02763.html?color=165,Beige Woman Embroidered Regular Joggers,£8.00
24,https://www.boohoo.com/halterneck-and-split-leggings-knitted-set/FZZ37976.html,Halterneck And Split Leggings Knitted Set,£17.00
25,https://www.boohoo.com/basic-oversized-jogger-/GZZ39535.html?color=167,Beige Basic Oversized Jogger,£9.00
26,/rib-knit-seam-detail-curved-hem-top-flared-leg-trouser/GZZ39368.html?color=462,Rib Knit Seam Detail Curved Hem Top & Flared Leg Trouser,£10.00
27,https://www.boohoo.com/plus-tie-ankle-cargo-trousers-/GZZ18808.html,Plus Tie Ankle Cargo Trousers,£16.00
28,https://www.boohoo.com/basic-oversized-jogger-/GZZ39535.html?color=696,Pink Basic Oversized Jogger,£9.00
29,https://www.boohoo.com/woman-embroidered-regular-joggers/FZZ02763.html?color=374,Pink Woman Embroidered Regular Joggers,£8.00
30,https://www.boohoo.com/basic-oversized-jogger-/GZZ39535.html?color=106,Blue Basic Oversized Jogger,£9.00
31,https://www.boohoo.com/plus-multi-pocket-straight-leg-cargo-trouser/GZZ17758.html,Plus Multi Pocket Straight Leg Cargo Trouser,£15.00
32,https://www.boohoo.com/high-waisted-plisse-cargo-pants/GZZ19424.html?color=105,Plisse Straight Leg Cargo Trouser,£8.00
33,https://www.boohoo.com/military-blazer-trouser-suit-set/BOO00049.html,Military Blazer & Trouser Suit Set,£22.00
34,/plus-shell-cargo-pocket-straight-leg-trouser-/GZZ53679.html?color=165,Plus Shell Cargo Pocket Straight Leg Trouser,£15.00
35,/petite-rib-split-hem-flare/GZZ49420.html?color=105,Petite Rib Split Hem Flare,£12.00
36,/maternity-2-pack-over-the-bump-leggings/BZZ49827.html?color=105,Maternity 2 Pack Over The Bump Leggings,£11.20
37,/maternity-over-the-bump-culottes/BZZ46814.html?color=105,Maternity Over The Bump Culottes,£15.00
38,/plus-basic-leggings/PZZ10043.html?color=105,Plus Basic Leggings,£8.00
39,/seamless-ribbed-sculpt-legging-/GZZ27835.html?color=105,Seamless Ribbed Sculpt Legging,£15.00
40,https://www.boohoo.com/basics-high-waisted-flared-trousers/GZZ55752.html?color=151,Basics High Waisted Flared Trousers,£10.00
41,https://www.boohoo.com/pantone-straight-leg-jogger/GZZ57225.html?color=119,Pantone Straight Leg Jogger,£20.00
42,/abstract-print-high-waisted-flared-trousers/GZZ55751.html?color=144,Abstract Print High Waisted Flared Trousers,£12.00
